global_key,conf_key,year,publisher,title,link
icse,conf/icse/2011pesos,2011,ACM,"Proceedings of the 3rd International Workshop on Principles of Engineering Service-Oriented Systems, PESOS 2011, Waikiki, Honolulu, HI, USA, May 23-24, 2011",http://dl.acm.org/citation.cfm?id=1985394
icse,conf/icse/2011please,2011,ACM,"Proceedings of the 2nd International Workshop on Product Line Approaches in Software Engineering, PLEASE 2011, Waikiki, Honolulu, HI, USA, May 22-23, 2011",http://dl.acm.org/citation.cfm?id=1985484
icse,conf/icse/2011seams,2011,ACM,"2011 ICSE Symposium on Software Engineering for Adaptive and Self-Managing Systems, SEAMS 2011, Waikiki, Honolulu , HI, USA, May 23-24, 2011",http://dl.acm.org/citation.cfm?id=1988008
icse,conf/icse/2011sehc,2011,ACM,"Proceedings of the 3rd Workshop on Software Engineering in Health Care, SEHC 2011, Waikiki, Honolulu, HI, USA, May 22-23, 2011",http://dl.acm.org/citation.cfm?id=1987993
icse,conf/icse/2011sesena,2011,ACM,"Proceedings of the 2nd Workshop on Software Engineering for Sensor Network Applications, SESENA 2011, Waikiki, Honolulu, HI, USA, May 22, 2011",http://dl.acm.org/citation.cfm?id=1988051
icse,conf/icse/2011sess,2011,ACM,"Proceedings of the 7th International Workshop on Software Engineering for Secure Systems, SESS 2011, Waikiki, Honolulu, HI, USA, May 22, 2011",http://dl.acm.org/citation.cfm?id=1988630
icse,conf/icse/2011shark,2011,ACM,"Proceedings of the 6th International Workshop on SHAring and Reusing Architectural Knowledge, SHARK 2011, Waikiki, Honolulu, HI, USA, May 24, 2011",http://dl.acm.org/citation.cfm?id=1988676
icse,conf/icse/2011tefse,2011,ACM,"TEFSE'11, Proceedings of the 6th International Workshop on Traceability in Emerging Forms of Software Engineering, May 23, 2011, Waikiki, Honolulu, HI, USA",http://dl.acm.org/citation.cfm?id=1987856
icse,conf/icse/2011topi,2011,ACM,"Proceedings of the 1st Workshop on Developing Tools as Plug-ins, TOPI 2011, Waikiki, Honolulu, HI, USA, May 28, 2011",http://dl.acm.org/citation.cfm?id=1984708
icse,conf/icse/2011wetsom,2011,ACM,"Proceedings of the 2nd International Workshop on Emerging Trends in Software Metrics, WETSoM 2011, Waikiki, Honolulu, HI, USA, May 24, 2011",http://dl.acm.org/citation.cfm?id=1985374
icse,conf/icse/2011wrt,2011,ACM,"Fourth Workshop on Refactoring Tools 2011, WRT '11, Waikiki, Honolulu, HI, USA, May 22, 2011",http://dl.acm.org/citation.cfm?id=1984732
